TF,TF Plate,Row,Col,image-index
Put3,1,A,1,1
Stb4,1,A,2,2
Fhl1,1,A,3,3
Msn5,1,A,4,4
Tbs1,1,A,5,5
War1,1,A,6,6
Gcr1,1,A,7,7
Swi4,1,A,8,8
Dal81,1,A,9,9
Pip2,1,A,10,10
Pdr3,1,A,11,11
Ifh1,1,A,12,12
Spt7,1,B,1,48
Rgt1,1,B,2,47
Adr1,1,B,3,46
Sum1,1,B,4,45
Cat8,1,B,5,44
Cyc8,1,B,6,43
Aro80,1,B,7,42
Pdc2,1,B,8,41
Snf2,1,B,9,40
Gal11,1,B,10,39
Pdr1,1,B,11,38
Hal9,1,B,12,37
Sfl1,1,C,1,49
Ume6,1,C,2,50
Rap1,1,C,3,51
Leu3,1,C,4,52
Zap1,1,C,5,53
Reb1,1,C,6,54
Fkh2,1,C,7,55
Yrm1,1,C,8,56
Msn2,1,C,9,57
Stb5,1,C,10,58
Azf1,1,C,11,59
Ecm22,1,C,12,60
Arg81,1,D,1,96
Hot1,1,D,2,95
Tup1,1,D,3,94
Znf1,1,D,4,93
Upc2,1,D,5,92
Mbp1,1,D,6,91
Yrr1,1,D,7,90
Swi6,1,D,8,89
Sok2,1,D,9,88
Tea1,1,D,10,87
Haa1,1,D,11,86
Hsf1,1,D,12,85
Gis1,1,E,1,97
Abf1,1,E,2,98
Ace2,1,E,3,99
Bas1,1,E,4,100
Rph1,1,E,5,101
Gln3,1,E,6,102
Pdr8,1,E,7,103
Lys14,1,E,8,104
Stp1,1,E,9,105
Cst6,1,E,10,106
Pho2,1,E,11,107
Yap1,1,E,12,108
Xbp1,1,F,1,144
Met4,1,F,2,143
Rtg2,1,F,3,142
Ndd1,1,F,4,141
Sko1,1,F,5,140
Sfp1,1,F,6,139
Tbf1,1,F,7,138
Std1,1,F,8,137
Rlm1,1,F,9,136
Skn7,1,F,10,135
Spt8,1,F,11,134
Ixr1,1,F,12,133
Crz1,1,G,1,145
Dot6,1,G,2,146
Mot2,1,G,3,147
Spt10,1,G,4,148
Snf1,1,G,5,149
Hcm1,1,G,6,150
Ste12,1,G,7,151
Cha4,1,G,8,152
Rim101,1,G,9,153
Com2,1,G,10,154
Gal3,1,G,11,155
Rpn4,1,G,12,156
Ume1,1,H,1,192
Lap3,1,H,2,191
Stp4,1,H,3,190
Rtg3,1,H,4,189
Stp2,1,H,5,188
Tos4,1,H,6,187
Tec1,1,H,7,186
Mig1,1,H,8,185
Mth1,1,H,9,184
Mot3,1,H,10,183
Hfi1,1,H,11,182
Gzf3,1,H,12,181
Gat1,2,A,1,13
Stb3,2,A,2,14
Uga3,2,A,3,15
Hog1,2,A,4,16
Mal13,2,A,5,17
Opi1,2,A,6,18
Gal80,2,A,7,19
Mig3,2,A,8,20
Cad1,2,A,9,21
Msn1,2,A,10,22
Mac1,2,A,11,23
Yox1,2,A,12,24
Wtm1,2,B,1,36
Bcy1,2,B,2,35
Mig2,2,B,3,34
Dig1,2,B,4,33
Kar4,2,B,5,32
Hms2,2,B,6,31
Cbf1,2,B,7,30
Phd1,2,B,8,29
Ure2,2,B,9,28
Pho4,2,B,10,27
Spt3,2,B,11,26
Yap3,2,B,12,25
Yhp1,2,C,1,61
Rox1,2,C,2,62
Mal33,2,C,3,63
Pog1,2,C,4,64
Hap2,2,C,5,65
Yap5,2,C,6,66
Tye7,2,C,7,67
Yap7,2,C,8,68
Hap5,2,C,9,69
Ino2,2,C,10,70
Sut1,2,C,11,71
Cup9,2,C,12,72
Mcm1,2,D,1,84
Cin5,2,D,2,83
Rme1,2,D,3,82
Fzf1,2,D,4,81
Gcn4,2,D,5,80
Hmo1,2,D,6,79
Sub1,2,D,7,78
Met31,2,D,8,77
Met28,2,D,9,76
Srd1,2,D,10,75
Met32,2,D,11,74
Rgm1,2,D,12,73
Hac1,2,E,1,109
Cup2,2,E,2,110
Arg80,2,E,3,111
Lsm1,2,E,4,112
Nrg2,2,E,5,113
Nrg1,2,E,6,114
Rtg1,2,E,7,115
Hms1,2,E,8,116
Hap3,2,E,9,117
Spt23,2,E,10,118
Pex2,2,E,11,119
Hpc2,2,E,12,120
Ras2,2,F,1,132
Pho23,2,F,2,131
Dig2,2,F,3,130
Mss11,2,F,4,129
Rfx1,2,F,5,128
GIN1,2,F,6,127
TDA9,2,F,7,126
SDD 4.00,2,F,8,125
ZMS1,2,F,9,124
YKL222C,2,F,10,123
URC2,2,F,11,122
OAF3,2,F,12,121
RCS1,2,G,1,157
TOS9,2,G,2,158
MFG1,2,G,3,159
ERT1,2,G,4,160
TOD6,2,G,5,161
RDS2,2,G,6,162
IMP2,2,G,7,163
MSA2,2,G,8,164
OAF1,2,G,9,165
GAL4,2,G,10,166
RDS1,2,G,11,167
SIP4,2,G,12,168
TOG1,2,H,1,180
MSA1,2,H,2,179
MSN4,2,H,3,178
RDR1,2,H,4,177
GCR2,2,H,5,176
HAP4,2,H,6,175
PUL4,2,H,7,174
GSM1,2,H,8,173
ACA1,2,H,9,172
DAL80,2,H,10,171
DAL82,2,H,11,170
HAP1,2,H,12,169